id_org_competence,org_competence_1,objective_1,topic_count,sub_topic_count,topic_subtopic_count,top5_topsub
14,governance compliance innovation management process,assure business ecosystem innovation successful market locking customer increasing customer satisfaction providing rules guidances,"{'Business': 18, 'Design': 3, 'Personal Development': 2, 'IT & Software': 2}","{'Management': 6, 'Entrepreneurship': 4, 'Other': 3, 'Design Thinking': 3, 'Strategy': 2, 'Project Management': 2, 'Leadership': 1, 'Data & Analytics': 1, 'Human Resources': 1, 'IT Certification': 1, 'Personal Transformation': 1}","{'Business, Management': 6, 'Business, Entrepreneurship': 4, 'Design, Design Thinking': 3, 'Business, Other': 2, 'Business, Project Management': 2, 'Business, Strategy': 2, 'IT & Software, Other': 1, 'Business, Human Resources': 1, 'Personal Development, Personal Transformation': 1, 'Business, Data & Analytics': 1, 'IT & Software, IT Certification': 1, 'Personal Development, Leadership': 1}","['business management', 'business entrepreneurship', 'design design thinking', 'business other', 'business project management']"
15,venture incubation management,assure fund venture capital allocated innovation programs effectively efficiently responsibly accountably managed used,"{'Business': 24, 'Personal Development': 1}","{'Operations': 6, 'Management': 6, 'Project Management': 6, 'Entrepreneurship': 2, 'Finance': 2, 'Strategy': 1, 'Career Development': 1, 'Human Resources': 1}","{'Business, Management': 6, 'Business, Operations': 6, 'Business, Project Management': 6, 'Business, Finance': 2, 'Business, Entrepreneurship': 2, 'Business, Human Resources': 1, 'Personal Development, Career Development': 1, 'Business, Strategy': 1}","['business management', 'business operations', 'business project management', 'business finance', 'business entrepreneurship']"
16,managing quality innovation,improve maintain quality innovation create competitive advantages times business,"{'Business': 19, 'Personal Development': 2, 'Health & Fitness': 2, 'Design': 1, 'Office Productivity': 1}","{'Management': 7, 'Entrepreneurship': 3, 'Project Management': 3, 'Strategy': 2, 'Operations': 2, 'General Health': 1, 'Sports': 1, 'Microsoft': 1, 'Leadership': 1, 'Other': 1, 'Data & Analytics': 1, 'Personal Transformation': 1, 'Design Thinking': 1}","{'Business, Management': 7, 'Business, Entrepreneurship': 3, 'Business, Project Management': 3, 'Business, Operations': 2, 'Business, Strategy': 2, 'Design, Design Thinking': 1, 'Health & Fitness, General Health': 1, 'Personal Development, Personal Transformation': 1, 'Personal Development, Leadership': 1, 'Business, Other': 1, 'Health & Fitness, Sports': 1, 'Office Productivity, Microsoft': 1, 'Business, Data & Analytics': 1}","['business management', 'business entrepreneurship', 'business project management', 'business operations', 'business strategy']"
17,synergy value management,assure parenting synergy strategy telkom group effectively implemented resulting maximum value telkom group,"{'Business': 17, 'Finance & Accounting': 3, 'IT & Software': 3, 'Personal Development': 2}","{'Project Management': 7, 'Finance': 3, 'Entrepreneurship': 2, 'Strategy': 2, 'IT Certification': 2, 'Other': 2, 'Accounting & Bookkeeping': 1, 'Management': 1, 'Sales': 1, 'Personal Finance': 1, 'Investing & Trading': 1, 'Career Development': 1, 'Operations': 1}","{'Business, Project Management': 7, 'Business, Finance': 2, 'Business, Entrepreneurship': 2, 'IT & Software, IT Certification': 2, 'Business, Strategy': 2, 'Business, Management': 1, 'IT & Software, Other': 1, 'Personal Development, Career Development': 1, 'Finance & Accounting, Investing & Trading': 1, 'Finance & Accounting, Finance': 1, 'Business, Operations': 1, 'Business, Other': 1, 'Personal Development, Personal Finance': 1, 'Finance & Accounting, Accounting & Bookkeeping': 1, 'Business, Sales': 1}","['business project management', 'business finance', 'business entrepreneurship', 'it software it certification', 'business strategy']"
18,venture incubation management,manage incubation process obtain new innovative products national creative industry match making result offer venture capital,"{'Business': 24, 'Personal Development': 1}","{'Management': 7, 'Project Management': 7, 'Operations': 5, 'Entrepreneurship': 2, 'Strategy': 2, 'Career Development': 1, 'Finance': 1}","{'Business, Management': 7, 'Business, Project Management': 7, 'Business, Operations': 5, 'Business, Entrepreneurship': 2, 'Business, Strategy': 2, 'Personal Development, Career Development': 1, 'Business, Finance': 1}","['business management', 'business project management', 'business operations', 'business entrepreneurship', 'business strategy']"
19,customer requirement identification validation,identify collect analyse customer user problem requirements feedback,"{'Business': 17, 'Development': 3, 'IT & Software': 3, 'Marketing': 2}","{'Management': 6, 'Other': 4, 'Sales': 3, 'Communications': 3, 'Software Engineering': 2, 'Data & Analytics': 2, 'Operations': 2, 'Digital Marketing': 1, 'Marketing Fundamentals': 1, 'Web Development': 1}","{'Business, Management': 6, 'IT & Software, Other': 3, 'Business, Sales': 3, 'Business, Communications': 3, 'Development, Software Engineering': 2, 'Business, Data & Analytics': 2, 'Business, Operations': 2, 'Business, Other': 1, 'Marketing, Digital Marketing': 1, 'Marketing, Marketing Fundamentals': 1, 'Development, Web Development': 1}","['business management', 'it software other', 'business sales', 'business communications', 'development software engineering']"
20,ecosystem business system analyst,develop solution design prototype systemised approach based ecosystem strategy,"{'Business': 19, 'IT & Software': 3, 'Teaching & Academics': 3}","{'Data & Analytics': 11, 'Management': 3, 'Math': 2, 'Strategy': 2, 'Other': 2, 'Industry': 1, 'Finance': 1, 'Science': 1, 'IT Certification': 1, 'Project Management': 1}","{'Business, Data & Analytics': 11, 'Business, Management': 3, 'IT & Software, Other': 2, 'Teaching & Academics, Math': 2, 'Business, Strategy': 2, 'IT & Software, IT Certification': 1, 'Business, Finance': 1, 'Business, Project Management': 1, 'Teaching & Academics, Science': 1, 'Business, Industry': 1}","['business data analytics', 'business management', 'it software other', 'teaching academics math', 'business strategy']"
21,ecosystem business project management,excellent project management,"{'Business': 22, 'Personal Development': 2, 'IT & Software': 1}","{'Project Management': 20, 'Productivity': 1, 'Entrepreneurship': 1, 'Career Development': 1, 'IT Certification': 1, 'Management': 1}","{'Business, Project Management': 20, 'Personal Development, Productivity': 1, 'Business, Management': 1, 'Business, Entrepreneurship': 1, 'IT & Software, IT Certification': 1, 'Personal Development, Career Development': 1}","['business project management', 'personal development productivity', 'business management', 'business entrepreneurship', 'it software it certification']"
22,ecosystem business solution integration,integrate service platform infrastructure,"{'Business': 9, 'IT & Software': 7, 'Development': 6, 'Marketing': 1, 'Design': 1, 'Office Productivity': 1}","{'IT Certification': 4, 'Other': 4, 'Data & Analytics': 4, 'Programming Languages': 2, 'Project Management': 2, 'Software Engineering': 1, 'Databases': 1, 'Oracle': 1, 'Strategy': 1, 'Data Science': 1, 'Network & Security': 1, 'Affiliate Marketing': 1, 'Development Tools': 1, 'Design Tools': 1}","{'IT & Software, IT Certification': 4, 'Business, Data & Analytics': 4, 'IT & Software, Other': 2, 'Development, Programming Languages': 2, 'Business, Project Management': 2, 'Business, Other': 2, 'Development, Data Science': 1, 'Design, Design Tools': 1, 'Business, Strategy': 1, 'Marketing, Affiliate Marketing': 1, 'Office Productivity, Oracle': 1, 'Development, Software Engineering': 1, 'Development, Databases': 1, 'IT & Software, Network & Security': 1, 'Development, Development Tools': 1}","['it software it certification', 'business data analytics', 'it software other', 'development programming languages', 'business project management']"
23,ecosystem business innovation strategy,develop ecosystem business strategy perform product portfolio management partnership,"{'Business': 18, 'Marketing': 3, 'IT & Software': 2, 'Personal Development': 1, 'Design': 1}","{'Strategy': 13, 'Branding': 2, 'Entrepreneurship': 2, 'Finance': 1, 'Management': 1, 'Leadership': 1, 'Other': 1, 'Data & Analytics': 1, 'Design Thinking': 1, 'Social Media Marketing': 1, 'IT Certification': 1}","{'Business, Strategy': 13, 'Marketing, Branding': 2, 'Business, Entrepreneurship': 2, 'Marketing, Social Media Marketing': 1, 'Business, Management': 1, 'IT & Software, IT Certification': 1, 'IT & Software, Other': 1, 'Design, Design Thinking': 1, 'Business, Finance': 1, 'Business, Data & Analytics': 1, 'Personal Development, Leadership': 1}","['business strategy', 'marketing branding', 'business entrepreneurship', 'marketing social media marketing', 'business management']"
24,infrastructure technology operation saas paas iaas sdp dll,develop plan design deploy imes technology,"{'IT & Software': 10, 'Business': 6, 'Development': 5, 'Teaching & Academics': 3, 'Marketing': 1}","{'IT Certification': 7, 'Operations': 4, 'Other': 3, 'Development Tools': 2, 'Management': 1, 'Databases': 1, 'Strategy': 1, 'Web Development': 1, 'Engineering': 1, 'Software Engineering': 1, 'Test Prep': 1, 'Math': 1, 'Marketing Fundamentals': 1}","{'IT & Software, IT Certification': 7, 'Business, Operations': 4, 'IT & Software, Other': 3, 'Development, Development Tools': 2, 'Business, Management': 1, 'Teaching & Academics, Math': 1, 'Development, Web Development': 1, 'Development, Databases': 1, 'Development, Software Engineering': 1, 'Marketing, Marketing Fundamentals': 1, 'Teaching & Academics, Test Prep': 1, 'Teaching & Academics, Engineering': 1, 'Business, Strategy': 1}","['it software it certification', 'business operations', 'it software other', 'development development tools', 'business management']"
25,managing quality innovation,improve maintain quality innovation create competitive advantages time business,"{'Business': 19, 'Personal Development': 2, 'Health & Fitness': 2, 'Design': 1, 'Office Productivity': 1}","{'Management': 6, 'Entrepreneurship': 3, 'Project Management': 3, 'Operations': 3, 'Strategy': 2, 'General Health': 1, 'Sports': 1, 'Microsoft': 1, 'Leadership': 1, 'Other': 1, 'Data & Analytics': 1, 'Personal Transformation': 1, 'Design Thinking': 1}","{'Business, Management': 6, 'Business, Entrepreneurship': 3, 'Business, Operations': 3, 'Business, Project Management': 3, 'Business, Strategy': 2, 'Design, Design Thinking': 1, 'Health & Fitness, General Health': 1, 'Personal Development, Personal Transformation': 1, 'Personal Development, Leadership': 1, 'Business, Other': 1, 'Health & Fitness, Sports': 1, 'Office Productivity, Microsoft': 1, 'Business, Data & Analytics': 1}","['business management', 'business entrepreneurship', 'business operations', 'business project management', 'business strategy']"
26,customer quality experience analytics,capturing data business transactions measuring quality behavior profitability individual subscribers transforming comprehensive compass guiding driving key business decisions,"{'Business': 16, 'Marketing': 9}","{'Management': 5, 'Analytics & Automation': 5, 'Data & Analytics': 4, 'Operations': 2, 'Strategy': 2, 'Branding': 1, 'Entrepreneurship': 1, 'Communications': 1, 'Digital Marketing': 1, 'Other': 1, 'Sales': 1, 'Marketing Fundamentals': 1}","{'Business, Management': 5, 'Marketing, Analytics & Automation': 5, 'Business, Data & Analytics': 4, 'Business, Strategy': 2, 'Business, Operations': 2, 'Marketing, Branding': 1, 'Marketing, Digital Marketing': 1, 'Business, Communications': 1, 'Marketing, Other': 1, 'Business, Entrepreneurship': 1, 'Marketing, Marketing Fundamentals': 1, 'Business, Sales': 1}","['business management', 'marketing analytics automation', 'business data analytics', 'business strategy', 'business operations']"
27,leadership people development,creating surplus amount leadership manage people development critical resource maximize performance,"{'Personal Development': 17, 'Business': 8}","{'Leadership': 17, 'Management': 7, 'Human Resources': 1}","{'Personal Development, Leadership': 17, 'Business, Management': 7, 'Business, Human Resources': 1}","['personal development leadership', 'business management', 'business human resources']"
28,spiritual capital management,develop spiritual based character realize character commerce,"{'Personal Development': 22, 'Business': 2, 'Marketing': 1}","{'Religion & Spirituality': 18, 'Personal Transformation': 4, 'Public Relations': 1, 'Finance': 1, 'Project Management': 1}","{'Personal Development, Religion & Spirituality': 18, 'Personal Development, Personal Transformation': 4, 'Marketing, Public Relations': 1, 'Business, Project Management': 1, 'Business, Finance': 1}","['personal development religion spirituality', 'personal development personal transformation', 'marketing public relations', 'business project management', 'business finance']"
29,culture change management,manage cultural change achieve corporate strategic objective,"{'Business': 22, 'Personal Development': 2, 'Development': 1}","{'Management': 15, 'Human Resources': 3, 'Entrepreneurship': 1, 'Operations': 1, 'Strategy': 1, 'Development Tools': 1, 'Other': 1, 'Productivity': 1, 'Leadership': 1}","{'Business, Management': 15, 'Business, Human Resources': 3, 'Personal Development, Productivity': 1, 'Development, Development Tools': 1, 'Business, Other': 1, 'Business, Entrepreneurship': 1, 'Personal Development, Leadership': 1, 'Business, Operations': 1, 'Business, Strategy': 1}","['business management', 'business human resources', 'personal development productivity', 'development development tools', 'business other']"
30,legal compliance risk management,ensure organisation complies existing regulation policies manage risk mitigation perform lobbies regulators,"{'Business': 21, 'Finance & Accounting': 2, 'IT & Software': 1, 'Personal Development': 1}","{'Project Management': 7, 'Management': 6, 'Finance': 5, 'Operations': 2, 'Entrepreneurship': 1, 'Business Law': 1, 'IT Certification': 1, 'Career Development': 1, 'Compliance': 1}","{'Business, Project Management': 7, 'Business, Management': 6, 'Business, Finance': 4, 'Business, Operations': 2, 'Finance & Accounting, Finance': 1, 'IT & Software, IT Certification': 1, 'Personal Development, Career Development': 1, 'Business, Entrepreneurship': 1, 'Business, Business Law': 1, 'Finance & Accounting, Compliance': 1}","['business project management', 'business management', 'business finance', 'business operations', 'finance accounting finance']"
31,innovation business ecosystem management,develop sustain times business regional domestic market develop build buy strategy current ecosystem business innovation programs explore new initiatives recommended new business ecosystem innovation programs,"{'Business': 22, 'Personal Development': 1, 'IT & Software': 1, 'Design': 1}","{'Strategy': 7, 'Entrepreneurship': 5, 'Management': 4, 'Project Management': 3, 'Other': 2, 'Operations': 1, 'Leadership': 1, 'Design Thinking': 1, 'IT Certification': 1}","{'Business, Strategy': 7, 'Business, Entrepreneurship': 5, 'Business, Management': 4, 'Business, Project Management': 3, 'Business, Other': 2, 'Design, Design Thinking': 1, 'IT & Software, IT Certification': 1, 'Personal Development, Leadership': 1, 'Business, Operations': 1}","['business strategy', 'business entrepreneurship', 'business management', 'business project management', 'business other']"
32,governance compliance innovation management process,assure business ecosystem innovation successful market locking customer increasing customer satisfaction providing rules guidances,"{'Business': 18, 'Design': 3, 'Personal Development': 2, 'IT & Software': 2}","{'Management': 6, 'Entrepreneurship': 4, 'Other': 3, 'Design Thinking': 3, 'Strategy': 2, 'Project Management': 2, 'Leadership': 1, 'Data & Analytics': 1, 'Human Resources': 1, 'IT Certification': 1, 'Personal Transformation': 1}","{'Business, Management': 6, 'Business, Entrepreneurship': 4, 'Design, Design Thinking': 3, 'Business, Other': 2, 'Business, Project Management': 2, 'Business, Strategy': 2, 'IT & Software, Other': 1, 'Business, Human Resources': 1, 'Personal Development, Personal Transformation': 1, 'Business, Data & Analytics': 1, 'IT & Software, IT Certification': 1, 'Personal Development, Leadership': 1}","['business management', 'business entrepreneurship', 'design design thinking', 'business other', 'business project management']"
33,customer experience management enabler,ability develop plans design capacity capabilities etc arrange procedures manage customer services product digital solution including managing content customer interaction engagement customer engagement ensure best possible customer experience using digital products solutions,"{'Business': 20, 'Marketing': 4, 'IT & Software': 1}","{'Management': 8, 'Sales': 3, 'Communications': 3, 'Strategy': 2, 'Operations': 2, 'Other': 2, 'Marketing Fundamentals': 2, 'Data & Analytics': 1, 'Branding': 1, 'Digital Marketing': 1}","{'Business, Management': 8, 'Business, Communications': 3, 'Business, Sales': 3, 'Marketing, Marketing Fundamentals': 2, 'Business, Operations': 2, 'Business, Strategy': 2, 'Business, Other': 1, 'Marketing, Branding': 1, 'Marketing, Digital Marketing': 1, 'IT & Software, Other': 1, 'Business, Data & Analytics': 1}","['business management', 'business communications', 'business sales', 'marketing marketing fundamentals', 'business operations']"
34,strategy development,ability use internal external data analysis use tools techniques formulate strategies formulate strategic directions going forward ability identify challenges risks direction new strategies make recommendations overcome ability formulate vision mission strategic objectives ability translate css directional portfolio parenting strategy formulate strategic initiatives based new strategic objective,"{'Business': 15, 'Personal Development': 4, 'Marketing': 3, 'Design': 1, 'Development': 1, 'Music': 1}","{'Strategy': 7, 'Management': 3, 'Sales': 2, 'Entrepreneurship': 1, 'Creativity': 1, 'Productivity': 1, 'Marketing Fundamentals': 1, 'Personal Finance': 1, 'Finance': 1, 'Project Management': 1, 'User Experience': 1, 'Other': 1, 'Video & Mobile Marketing': 1, 'Personal Transformation': 1, 'Analytics & Automation': 1, 'Web Development': 1}","{'Business, Strategy': 7, 'Business, Management': 3, 'Business, Sales': 2, 'Personal Development, Productivity': 1, 'Business, Finance': 1, 'Personal Development, Personal Transformation': 1, 'Development, Web Development': 1, 'Business, Entrepreneurship': 1, 'Music, Other': 1, 'Marketing, Marketing Fundamentals': 1, 'Marketing, Analytics & Automation': 1, 'Personal Development, Personal Finance': 1, 'Personal Development, Creativity': 1, 'Business, Project Management': 1, 'Design, User Experience': 1, 'Marketing, Video & Mobile Marketing': 1}","['business strategy', 'business management', 'business sales', 'personal development productivity', 'business finance']"
35,merger acquisition,able carry process mergers acquisitions local international markets encompasses process creating criteria target company candidates including profiles candidates terms business strategy competition prediction company value identifying value transactions choice transaction structure conduct due diligence financial operational human resources legal matters conduct business valuations candidate companies determine company final value,"{'Business': 14, 'Marketing': 6, 'Finance & Accounting': 5}","{'Finance': 10, 'Entrepreneurship': 3, 'Digital Marketing': 2, 'Real Estate': 2, 'Marketing Fundamentals': 2, 'Human Resources': 2, 'Content Marketing': 1, 'Strategy': 1, 'Compliance': 1, 'Product Marketing': 1}","{'Business, Finance': 6, 'Finance & Accounting, Finance': 4, 'Business, Entrepreneurship': 3, 'Business, Human Resources': 2, 'Marketing, Digital Marketing': 2, 'Marketing, Marketing Fundamentals': 2, 'Business, Real Estate': 2, 'Marketing, Content Marketing': 1, 'Finance & Accounting, Compliance': 1, 'Marketing, Product Marketing': 1, 'Business, Strategy': 1}","['business finance', 'finance accounting finance', 'business entrepreneurship', 'business human resources', 'marketing digital marketing']"
